"Reversed left context";"Reversed center";"Left context";"Center";"Punct";"Right context";"Title";"Author";"Birthday";"Header";"Created";"Sphere";"Type";"Topic";"Publication";"Publ_year";"Medium";"Ambiguity";"Full context"
" узерг йешвитемто ,арвал юокпелшан с асебен";"аруМ";"небеса с нашлепкою лавра, отметившей грезу ";"Мура";", ";"коптя на холодном огне свои телеса";"О. Г. Чухонцев. «Расставив ноги по ширине культуристских плеч...» (2016)";"О. Г. Чухонцев";"1938";"«Расставив ноги по ширине культуристских плеч...»";"2016";"художественная";"";"";"";"";"";"омонимия не снята";"Расставив ноги по ширине культуристских плеч, откинув туловище, и выгнув картинно спину, и оттопырив локти как ласты, с которых стечь вода не успела и пот, ― подобный пингвину, стоит он у моря, задрав свой нос в небеса с нашлепкою лавра, отметившей грезу Мура, коптя на холодном огне свои телеса до теплой бронзы, когда не кожа, а шкура, и кажется, время вползает в палеолит, когда  он стоит так, обугливаясь в косматых и голых лежбищах, пол теряя и вид, но умножая при этом отряд приматов. "
" иовс енго мондолох ан ятпок ,аруМ";"аселет";"Мура, коптя на холодном огне свои ";"телеса";" ";"до теплой бронзы, когда не кожа";"О. Г. Чухонцев. «Расставив ноги по ширине культуристских плеч...» (2016)";"О. Г. Чухонцев";"1938";"«Расставив ноги по ширине культуристских плеч...»";"2016";"художественная";"";"";"";"";"";"омонимия не снята";"Расставив ноги по ширине культуристских плеч, откинув туловище, и выгнув картинно спину, и оттопырив локти как ласты, с которых стечь вода не успела и пот, ― подобный пингвину, стоит он у моря, задрав свой нос в небеса с нашлепкою лавра, отметившей грезу Мура, коптя на холодном огне свои телеса до теплой бронзы, когда не кожа, а шкура, и кажется, время вползает в палеолит, когда  он стоит так, обугливаясь в косматых и голых лежбищах, пол теряя и вид, но умножая при этом отряд приматов. "
" а ,ажок ен адгок ,ызнорб йолпет";"арукш";"теплой бронзы, когда не кожа, а ";"шкура";", ";"и кажется, время вползает в палеолит";"О. Г. Чухонцев. «Расставив ноги по ширине культуристских плеч...» (2016)";"О. Г. Чухонцев";"1938";"«Расставив ноги по ширине культуристских плеч...»";"2016";"художественная";"";"";"";"";"";"омонимия не снята";"Расставив ноги по ширине культуристских плеч, откинув туловище, и выгнув картинно спину, и оттопырив локти как ласты, с которых стечь вода не успела и пот, ― подобный пингвину, стоит он у моря, задрав свой нос в небеса с нашлепкою лавра, отметившей грезу Мура, коптя на холодном огне свои телеса до теплой бронзы, когда не кожа, а шкура, и кажется, время вползает в палеолит, когда  он стоит так, обугливаясь в косматых и голых лежбищах, пол теряя и вид, но умножая при этом отряд приматов. "
" в теазлопв ямерв ,ястежак и ,арукш";"тилоелап";"шкура, и кажется, время вползает в ";"палеолит";", ";"когда ";"О. Г. Чухонцев. «Расставив ноги по ширине культуристских плеч...» (2016)";"О. Г. Чухонцев";"1938";"«Расставив ноги по ширине культуристских плеч...»";"2016";"художественная";"";"";"";"";"";"омонимия не снята";"Расставив ноги по ширине культуристских плеч, откинув туловище, и выгнув картинно спину, и оттопырив локти как ласты, с которых стечь вода не успела и пот, ― подобный пингвину, стоит он у моря, задрав свой нос в небеса с нашлепкою лавра, отметившей грезу Мура, коптя на холодном огне свои телеса до теплой бронзы, когда не кожа, а шкура, и кажется, время вползает в палеолит, когда  он стоит так, обугливаясь в косматых и голых лежбищах, пол теряя и вид, но умножая при этом отряд приматов. "
" в ьсяавилгубо ,кат тиотс но ";"хытамсок";" он стоит так, обугливаясь в ";"косматых";" ";"и голых лежбищах, пол теряя и";"О. Г. Чухонцев. «Расставив ноги по ширине культуристских плеч...» (2016)";"О. Г. Чухонцев";"1938";"«Расставив ноги по ширине культуристских плеч...»";"2016";"художественная";"";"";"";"";"";"омонимия не снята";"Расставив ноги по ширине культуристских плеч, откинув туловище, и выгнув картинно спину, и оттопырив локти как ласты, с которых стечь вода не успела и пот, ― подобный пингвину, стоит он у моря, задрав свой нос в небеса с нашлепкою лавра, отметившей грезу Мура, коптя на холодном огне свои телеса до теплой бронзы, когда не кожа, а шкура, и кажется, время вползает в палеолит, когда  он стоит так, обугливаясь в косматых и голых лежбищах, пол теряя и вид, но умножая при этом отряд приматов. "
" и яярет лоп ,хащибжел хылог и";"див";"и голых лежбищах, пол теряя и ";"вид";", ";"но умножая при этом отряд приматов. ";"О. Г. Чухонцев. «Расставив ноги по ширине культуристских плеч...» (2016)";"О. Г. Чухонцев";"1938";"«Расставив ноги по ширине культуристских плеч...»";"2016";"художественная";"";"";"";"";"";"омонимия не снята";"Расставив ноги по ширине культуристских плеч, откинув туловище, и выгнув картинно спину, и оттопырив локти как ласты, с которых стечь вода не успела и пот, ― подобный пингвину, стоит он у моря, задрав свой нос в небеса с нашлепкою лавра, отметившей грезу Мура, коптя на холодном огне свои телеса до теплой бронзы, когда не кожа, а шкура, и кажется, время вползает в палеолит, когда  он стоит так, обугливаясь в косматых и голых лежбищах, пол теряя и вид, но умножая при этом отряд приматов. "
" дярто мотэ ирп яажонму он ,див";"вотамирп";"вид, но умножая при этом отряд ";"приматов";". ";"";"О. Г. Чухонцев. «Расставив ноги по ширине культуристских плеч...» (2016)";"О. Г. Чухонцев";"1938";"«Расставив ноги по ширине культуристских плеч...»";"2016";"художественная";"";"";"";"";"";"омонимия не снята";"Расставив ноги по ширине культуристских плеч, откинув туловище, и выгнув картинно спину, и оттопырив локти как ласты, с которых стечь вода не успела и пот, ― подобный пингвину, стоит он у моря, задрав свой нос в небеса с нашлепкою лавра, отметившей грезу Мура, коптя на холодном огне свои телеса до теплой бронзы, когда не кожа, а шкура, и кажется, время вползает в палеолит, когда  он стоит так, обугливаясь в косматых и голых лежбищах, пол теряя и вид, но умножая при этом отряд приматов. "
" йонтнемец в ровд и акдебел монко";"илып";"окном лебедка и двор в цементной ";"пыли";". ";"";"О. Г. Чухонцев. «Скрипит за окном лебедка и двор в цементной пыли...» (2016)";"О. Г. Чухонцев";"1938";"«Скрипит за окном лебедка и двор в цементной пыли...»";"2016";"художественная";"";"";"";"";"";"омонимия не снята";"Скрипит за окном лебедка и двор в цементной пыли. Покой мя на пажити злачне, на тихие воды всели. "
" ыдов еихит ан ,енчалз итижап ан";"илесв";"на пажити злачне, на тихие воды ";"всели";". ";"";"О. Г. Чухонцев. «Скрипит за окном лебедка и двор в цементной пыли...» (2016)";"О. Г. Чухонцев";"1938";"«Скрипит за окном лебедка и двор в цементной пыли...»";"2016";"художественная";"";"";"";"";"";"омонимия не снята";"Скрипит за окном лебедка и двор в цементной пыли. Покой мя на пажити злачне, на тихие воды всели. "
" 6 од ]итявед[ 9 с восач";"]итсеш[";"часов с 9 [девяти] до 6 ";"[шести]";". ";"";"О. Г. Чухонцев. «Скрипит за окном лебедка и двор в цементной пыли...» (2016)";"О. Г. Чухонцев";"1938";"«Скрипит за окном лебедка и двор в цементной пыли...»";"2016";"художественная";"";"";"";"";"";"омонимия не снята";"То крик: ― берегись!  ― то ругань часов с 9 [девяти] до 6 [шести]. Направь на стези меня правды и душу мою обрати. "
" юом ушуд и ыдварп янем изетс";"итарбо";"стези меня правды и душу мою ";"обрати";". ";"";"О. Г. Чухонцев. «Скрипит за окном лебедка и двор в цементной пыли...» (2016)";"О. Г. Чухонцев";"1938";"«Скрипит за окном лебедка и двор в цементной пыли...»";"2016";"художественная";"";"";"";"";"";"омонимия не снята";" ― то ругань часов с 9 [девяти] до 6 [шести]. Направь на стези меня правды и душу мою обрати. "
" ен ад я удйоп инес еынтремс";"ьсюобу";"смертные сени пойду я да не ";"убоюсь";" ";"злокозней, и жезл Твой, и посох";"О. Г. Чухонцев. «Скрипит за окном лебедка и двор в цементной пыли...» (2016)";"О. Г. Чухонцев";"1938";"«Скрипит за окном лебедка и двор в цементной пыли...»";"2016";"художественная";"";"";"";"";"";"омонимия не снята";"Дорогою смертные сени пойду я да не убоюсь злокозней, и жезл Твой, и посох утешисты, ими держусь. "
" ими ,ытсишету хосоп и ,йовТ лзеж";"ьсужред";"жезл Твой, и посох утешисты, ими ";"держусь";". ";"";"О. Г. Чухонцев. «Скрипит за окном лебедка и двор в цементной пыли...» (2016)";"О. Г. Чухонцев";"1938";"«Скрипит за окном лебедка и двор в цементной пыли...»";"2016";"художественная";"";"";"";"";"";"омонимия не снята";"Дорогою смертные сени пойду я да не убоюсь злокозней, и жезл Твой, и посох утешисты, ими держусь. "
" ястеачнок ,илытуб еытсуп халзок аН";"выререп";"На козлах пустые бутыли, кончается ";"перерыв";". ";"";"О. Г. Чухонцев. «Скрипит за окном лебедка и двор в цементной пыли...» (2016)";"О. Г. Чухонцев";"1938";"«Скрипит за окном лебедка и двор в цементной пыли...»";"2016";"художественная";"";"";"";"";"";"омонимия не снята";"На козлах пустые бутыли, кончается перерыв. Ты мне уготовал трапезу всем недругам сопротив. "
" магурден месв узепарт лавотогу енм ыТ";"виторпос";"Ты мне уготовал трапезу всем недругам ";"сопротив";". ";"";"О. Г. Чухонцев. «Скрипит за окном лебедка и двор в цементной пыли...» (2016)";"О. Г. Чухонцев";"1938";"«Скрипит за окном лебедка и двор в цементной пыли...»";"2016";"художественная";"";"";"";"";"";"омонимия не снята";"На козлах пустые бутыли, кончается перерыв. Ты мне уготовал трапезу всем недругам сопротив. "
" ,анважред окя ,ашач ищюавяопу И";"яовТ";"И упоявающи чаша, яко державна, ";"Твоя";", ";"а большего мне и не надо";"О. Г. Чухонцев. «Скрипит за окном лебедка и двор в цементной пыли...» (2016)";"О. Г. Чухонцев";"1938";"«Скрипит за окном лебедка и двор в цементной пыли...»";"2016";"художественная";"";"";"";"";"";"омонимия не снята";"И упоявающи чаша, яко державна, Твоя, а большего мне и не надо, другого житья̀ - бытия. "
" огогурд ,одан ен и енм огешьлоб";"яьтиж";"большего мне и не надо, другого ";"житья";"̀ - ";"бытия. ";"О. Г. Чухонцев. «Скрипит за окном лебедка и двор в цементной пыли...» (2016)";"О. Г. Чухонцев";"1938";"«Скрипит за окном лебедка и двор в цементной пыли...»";"2016";"художественная";"";"";"";"";"";"омонимия не снята";"И упоявающи чаша, яко державна, Твоя, а большего мне и не надо, другого житья̀ - бытия. "
" - ̀яьтиж огогурд ,одан ен и енм";"яитыб";"мне и не надо, другого житья̀ - ";"бытия";". ";"";"О. Г. Чухонцев. «Скрипит за окном лебедка и двор в цементной пыли...» (2016)";"О. Г. Чухонцев";"1938";"«Скрипит за окном лебедка и двор в цементной пыли...»";"2016";"художественная";"";"";"";"";"";"омонимия не снята";"И упоявающи чаша, яко державна, Твоя, а большего мне и не надо, другого житья̀ - бытия. "
" в сукиф тяватсыв ун ,еьлесовон аз";"енко";"за новоселье, ну выставят фикус в ";"окне";". ";"";"О. Г. Чухонцев. «Скрипит за окном лебедка и двор в цементной пыли...» (2016)";"О. Г. Чухонцев";"1938";"«Скрипит за окном лебедка и двор в цементной пыли...»";"2016";"художественная";"";"";"";"";"";"омонимия не снята";"Ну выпьют за новоселье, ну выставят фикус в окне. А Ты умастишь елеем главу невидимым мне. "
" мымидивен увалг мееле ьшитсаму ыТ А";"енм";"А Ты умастишь елеем главу невидимым ";"мне";". ";"";"О. Г. Чухонцев. «Скрипит за окном лебедка и двор в цементной пыли...» (2016)";"О. Г. Чухонцев";"1938";"«Скрипит за окном лебедка и двор в цементной пыли...»";"2016";"художественная";"";"";"";"";"";"омонимия не снята";"Ну выпьют за новоселье, ну выставят фикус в окне. А Ты умастишь елеем главу невидимым мне. "
" инзиж инд ов йонм ос тедуберп";"йесв";"пребудет со мной во дни жизни ";"всей";", ";"вселив меня в дом Господень, в";"О. Г. Чухонцев. «Скрипит за окном лебедка и двор в цементной пыли...» (2016)";"О. Г. Чухонцев";"1938";"«Скрипит за окном лебедка и двор в цементной пыли...»";"2016";"художественная";"";"";"";"";"";"омонимия не снята";"И милость Твоя пребудет со мной во дни жизни всей, вселив меня в дом Господень, в долготу дней. "
" утоглод в ,ьнедопсоГ мод в янем";"йенд";"меня в дом Господень, в долготу ";"дней";". ";"";"О. Г. Чухонцев. «Скрипит за окном лебедка и двор в цементной пыли...» (2016)";"О. Г. Чухонцев";"1938";"«Скрипит за окном лебедка и двор в цементной пыли...»";"2016";"художественная";"";"";"";"";"";"омонимия не снята";"И милость Твоя пребудет со мной во дни жизни всей, вселив меня в дом Господень, в долготу дней. "
" в алерогс арапомреТ";"елток";"Термопара сгорела в ";"котле";" ";"23[дцадцать третье] - м, и надо менять";"О. Г. Чухонцев. «Термопара сгорела в котле...» (2016)";"О. Г. Чухонцев";"1938";"«Термопара сгорела в котле...»";"2016";"художественная";"";"";"";"";"";"омонимия не снята";"Термопара сгорела в котле 23[дцадцать третье] - м, и надо менять, а что мир пребывает во зле, мне на это уже наплевать, "
" одан и ,м - ]еьтерт ьтацдацд[32 елток";"ьтянем";"котле 23[дцадцать третье] - м, и надо ";"менять";", ";"а что мир пребывает во зле";"О. Г. Чухонцев. «Термопара сгорела в котле...» (2016)";"О. Г. Чухонцев";"1938";"«Термопара сгорела в котле...»";"2016";"художественная";"";"";"";"";"";"омонимия не снята";"Термопара сгорела в котле 23[дцадцать третье] - м, и надо менять, а что мир пребывает во зле, мне на это уже наплевать, "
" ов теавыберп рим отч а ,ьтянем";"елз";"менять, а что мир пребывает во ";"зле";", ";"мне на это уже наплевать, ";"О. Г. Чухонцев. «Термопара сгорела в котле...» (2016)";"О. Г. Чухонцев";"1938";"«Термопара сгорела в котле...»";"2016";"художественная";"";"";"";"";"";"омонимия не снята";"Термопара сгорела в котле 23[дцадцать третье] - м, и надо менять, а что мир пребывает во зле, мне на это уже наплевать, "
" ежу отэ ан енм ,елз ов";"ьтавелпан";"во зле, мне на это уже ";"наплевать";", ";"";"О. Г. Чухонцев. «Термопара сгорела в котле...» (2016)";"О. Г. Чухонцев";"1938";"«Термопара сгорела в котле...»";"2016";"художественная";"";"";"";"";"";"омонимия не снята";"Термопара сгорела в котле 23[дцадцать третье] - м, и надо менять, а что мир пребывает во зле, мне на это уже наплевать, "
" водолох од ыб ьшил";"ьтаксыто";"лишь бы до холодов ";"отыскать";", ";"до морозов найти эту хрень, без";"О. Г. Чухонцев. «Термопара сгорела в котле...» (2016)";"О. Г. Чухонцев";"1938";"«Термопара сгорела в котле...»";"2016";"художественная";"";"";"";"";"";"омонимия не снята";"лишь бы до холодов отыскать, до морозов найти эту хрень, без которой и ночью не спать, и у дверки дежурить весь день, "
" утэ итйан возором од ,ьтаксыто водолох";"ьнерх";"холодов отыскать, до морозов найти эту ";"хрень";", ";"без которой и ночью не спать";"О. Г. Чухонцев. «Термопара сгорела в котле...» (2016)";"О. Г. Чухонцев";"1938";"«Термопара сгорела в котле...»";"2016";"художественная";"";"";"";"";"";"омонимия не снята";"лишь бы до холодов отыскать, до морозов найти эту хрень, без которой и ночью не спать, и у дверки дежурить весь день, "
" ен юьчон и йороток зеб ,ьнерх";"ьтапс";"хрень, без которой и ночью не ";"спать";", ";"и у дверки дежурить весь день, ";"О. Г. Чухонцев. «Термопара сгорела в котле...» (2016)";"О. Г. Чухонцев";"1938";"«Термопара сгорела в котле...»";"2016";"художественная";"";"";"";"";"";"омонимия не снята";"лишь бы до холодов отыскать, до морозов найти эту хрень, без которой и ночью не спать, и у дверки дежурить весь день, "
" ьсев ьтиружед икревд у и ,ьтапс";"ьнед";"спать, и у дверки дежурить весь ";"день";", ";"";"О. Г. Чухонцев. «Термопара сгорела в котле...» (2016)";"О. Г. Чухонцев";"1938";"«Термопара сгорела в котле...»";"2016";"художественная";"";"";"";"";"";"омонимия не снята";"лишь бы до холодов отыскать, до морозов найти эту хрень, без которой и ночью не спать, и у дверки дежурить весь день, "
" ил сагоп ен ,ьтиделс ёсв";"ьного";"всё следить, не погас ли ";"огонь";", ";"не идет ли без пламени газ";"О. Г. Чухонцев. «Термопара сгорела в котле...» (2016)";"О. Г. Чухонцев";"1938";"«Термопара сгорела в котле...»";"2016";"художественная";"";"";"";"";"";"омонимия не снята";"всё следить, не погас ли огонь, не идет ли без пламени газ, а Подлунную лучше не тронь, проживет как-нибудь и без нас, "
" инемалп зеб ил теди ен ,ьного";"заг";"огонь, не идет ли без пламени ";"газ";", ";"а Подлунную лучше не тронь, проживет";"О. Г. Чухонцев. «Термопара сгорела в котле...» (2016)";"О. Г. Чухонцев";"1938";"«Термопара сгорела в котле...»";"2016";"художественная";"";"";"";"";"";"омонимия не снята";"всё следить, не погас ли огонь, не идет ли без пламени газ, а Подлунную лучше не тронь, проживет как-нибудь и без нас, "
" ен ешчул юуннулдоП а ,заг инемалп";"ьнорт";"пламени газ, а Подлунную лучше не ";"тронь";", ";"проживет как-нибудь и без нас, ";"О. Г. Чухонцев. «Термопара сгорела в котле...» (2016)";"О. Г. Чухонцев";"1938";"«Термопара сгорела в котле...»";"2016";"художественная";"";"";"";"";"";"омонимия не снята";"всё следить, не погас ли огонь, не идет ли без пламени газ, а Подлунную лучше не тронь, проживет как-нибудь и без нас, "
" зеб и ьдубин-как тевижорп ,ьнорт ен";"сан";"не тронь, проживет как-нибудь и без ";"нас";", ";"";"О. Г. Чухонцев. «Термопара сгорела в котле...» (2016)";"О. Г. Чухонцев";"1938";"«Термопара сгорела в котле...»";"2016";"художественная";"";"";"";"";"";"омонимия не снята";"всё следить, не погас ли огонь, не идет ли без пламени газ, а Подлунную лучше не тронь, проживет как-нибудь и без нас, "
" и ,иман с меч ,ещорп ежад";"ьтсен";"даже проще, чем с нами, и ";"несть";" ";"доказательств, что оный предмет межеумочен, то";"О. Г. Чухонцев. «Термопара сгорела в котле...» (2016)";"О. Г. Чухонцев";"1938";"«Термопара сгорела в котле...»";"2016";"художественная";"";"";"";"";"";"омонимия не снята";"даже проще, чем с нами, и несть доказательств, что оный предмет межеумочен, то что мы есть конвертируя в то где нас нет. "
" йыно отч ,втсьлетазакод ьтсен и ,иман";"темдерп";"нами, и несть доказательств, что оный ";"предмет";" ";"межеумочен, то что мы есть конвертируя";"О. Г. Чухонцев. «Термопара сгорела в котле...» (2016)";"О. Г. Чухонцев";"1938";"«Термопара сгорела в котле...»";"2016";"художественная";"";"";"";"";"";"омонимия не снята";"даже проще, чем с нами, и несть доказательств, что оный предмет межеумочен, то что мы есть конвертируя в то где нас нет. "
" ым отч от ,нечомуежем темдерп йыно";"ьтсе";"оный предмет межеумочен, то что мы ";"есть";" ";"конвертируя в то где нас нет. ";"О. Г. Чухонцев. «Термопара сгорела в котле...» (2016)";"О. Г. Чухонцев";"1938";"«Термопара сгорела в котле...»";"2016";"художественная";"";"";"";"";"";"омонимия не снята";"даже проще, чем с нами, и несть доказательств, что оный предмет межеумочен, то что мы есть конвертируя в то где нас нет. "
" сан едг от в яуритревнок ьтсе";"тен";"есть конвертируя в то где нас ";"нет";". ";"";"О. Г. Чухонцев. «Термопара сгорела в котле...» (2016)";"О. Г. Чухонцев";"1938";"«Термопара сгорела в котле...»";"2016";"художественная";"";"";"";"";"";"омонимия не снята";"даже проще, чем с нами, и несть доказательств, что оный предмет межеумочен, то что мы есть конвертируя в то где нас нет. "
" еыннешорб окьлоТ";"алачан";"Только брошенные ";"начала";" ";"да несвязанные концы ― это все, ни";"О. Г. Чухонцев. «Только брошенные начала...» (2016)";"О. Г. Чухонцев";"1938";"«Только брошенные начала...»";"2016";"художественная";"";"";"";"";"";"омонимия не снята";"Только брошенные начала да несвязанные концы ― это все, ни много, ни мало, да саврасовские скворцы, да светающая дорога со шпаною из Петушков, это все, ни мало, ни много, влез на полку ― и был таков… "
" еынназявсен ад алачан еыннешорб окьлоТ";"ыцнок";"Только брошенные начала да несвязанные ";"концы";" ― ";"это все, ни много, ни мало";"О. Г. Чухонцев. «Только брошенные начала...» (2016)";"О. Г. Чухонцев";"1938";"«Только брошенные начала...»";"2016";"художественная";"";"";"";"";"";"омонимия не снята";"Только брошенные начала да несвязанные концы ― это все, ни много, ни мало, да саврасовские скворцы, да светающая дорога со шпаною из Петушков, это все, ни мало, ни много, влез на полку ― и был таков… "
" ин ,огонм ин ,есв отэ ― ыцнок";"олам";"концы ― это все, ни много, ни ";"мало";", ";"да саврасовские скворцы, да светающая дорога";"О. Г. Чухонцев. «Только брошенные начала...» (2016)";"О. Г. Чухонцев";"1938";"«Только брошенные начала...»";"2016";"художественная";"";"";"";"";"";"омонимия не снята";"Только брошенные начала да несвязанные концы ― это все, ни много, ни мало, да саврасовские скворцы, да светающая дорога со шпаною из Петушков, это все, ни мало, ни много, влез на полку ― и был таков… "
" еиксвосарвас ад ,олам ин ,огонм ин";"ыцровкс";"ни много, ни мало, да саврасовские ";"скворцы";", ";"да светающая дорога со шпаною из";"О. Г. Чухонцев. «Только брошенные начала...» (2016)";"О. Г. Чухонцев";"1938";"«Только брошенные начала...»";"2016";"художественная";"";"";"";"";"";"омонимия не снята";"Только брошенные начала да несвязанные концы ― это все, ни много, ни мало, да саврасовские скворцы, да светающая дорога со шпаною из Петушков, это все, ни мало, ни много, влез на полку ― и был таков… "
" яащюатевс ад ,ыцровкс еиксвосарвас ад ,олам";"агород";"мало, да саврасовские скворцы, да светающая ";"дорога";" ";"со шпаною из Петушков, это все";"О. Г. Чухонцев. «Только брошенные начала...» (2016)";"О. Г. Чухонцев";"1938";"«Только брошенные начала...»";"2016";"художественная";"";"";"";"";"";"омонимия не снята";"Только брошенные начала да несвязанные концы ― это все, ни много, ни мало, да саврасовские скворцы, да светающая дорога со шпаною из Петушков, это все, ни мало, ни много, влез на полку ― и был таков… "
" зи юонапш ос агород яащюатевс ад";"вокшутеП";"да светающая дорога со шпаною из ";"Петушков";", ";"это все, ни мало, ни много";"О. Г. Чухонцев. «Только брошенные начала...» (2016)";"О. Г. Чухонцев";"1938";"«Только брошенные начала...»";"2016";"художественная";"";"";"";"";"";"омонимия не снята";"Только брошенные начала да несвязанные концы ― это все, ни много, ни мало, да саврасовские скворцы, да светающая дорога со шпаною из Петушков, это все, ни мало, ни много, влез на полку ― и был таков… "
" ин ,олам ин ,есв отэ ,вокшутеП";"огонм";"Петушков, это все, ни мало, ни ";"много";", ";"влез на полку ― и был таков… ";"О. Г. Чухонцев. «Только брошенные начала...» (2016)";"О. Г. Чухонцев";"1938";"«Только брошенные начала...»";"2016";"художественная";"";"";"";"";"";"омонимия не снята";"Только брошенные начала да несвязанные концы ― это все, ни много, ни мало, да саврасовские скворцы, да светающая дорога со шпаною из Петушков, это все, ни мало, ни много, влез на полку ― и был таков… "
" лыб и ― уклоп ан зелв ,огонм";"вокат";"много, влез на полку ― и был ";"таков";"… ";"";"О. Г. Чухонцев. «Только брошенные начала...» (2016)";"О. Г. Чухонцев";"1938";"«Только брошенные начала...»";"2016";"художественная";"";"";"";"";"";"омонимия не снята";"Только брошенные начала да несвязанные концы ― это все, ни много, ни мало, да саврасовские скворцы, да светающая дорога со шпаною из Петушков, это все, ни мало, ни много, влез на полку ― и был таков… "
" юокак с ,ледив ыТ";"йодасдан";"Ты видел, с какою ";"надсадой";" ";"в базальт ударяет волна и с";"О. Г. Чухонцев. «Ты видел, с какою надсадой...» (2016)";"О. Г. Чухонцев";"1938";"«Ты видел, с какою надсадой...»";"2016";"художественная";"";"";"";"";"";"омонимия не снята";"Ты видел, с какою надсадой в базальт ударяет волна и с шумом валун волосатый медузой всплывает со дна? "
" теяраду тьлазаб в йодасдан юокак с";"анлов";"с какою надсадой в базальт ударяет ";"волна";" ";"и с шумом валун волосатый медузой";"О. Г. Чухонцев. «Ты видел, с какою надсадой...» (2016)";"О. Г. Чухонцев";"1938";"«Ты видел, с какою надсадой...»";"2016";"художественная";"";"";"";"";"";"омонимия не снята";"Ты видел, с какою надсадой в базальт ударяет волна и с шумом валун волосатый медузой всплывает со дна? "
" нулав момуш с и анлов теяраду";"йытасолов";"ударяет волна и с шумом валун ";"волосатый";" ";"медузой всплывает со дна? ";"О. Г. Чухонцев. «Ты видел, с какою надсадой...» (2016)";"О. Г. Чухонцев";"1938";"«Ты видел, с какою надсадой...»";"2016";"художественная";"";"";"";"";"";"омонимия не снята";"Ты видел, с какою надсадой в базальт ударяет волна и с шумом валун волосатый медузой всплывает со дна? "
" ос теавылпсв йозудем йытасолов нулав момуш";"анд";"шумом валун волосатый медузой всплывает со ";"дна";"? ";"";"О. Г. Чухонцев. «Ты видел, с какою надсадой...» (2016)";"О. Г. Чухонцев";"1938";"«Ты видел, с какою надсадой...»";"2016";"художественная";"";"";"";"";"";"омонимия не снята";"Ты видел, с какою надсадой в базальт ударяет волна и с шумом валун волосатый медузой всплывает со дна? "
" и адратеп ястеврозВ";"йечут";"Взорвется петарда и ";"тучей";" ";"на галечник рухнет, и вот с";"О. Г. Чухонцев. «Ты видел, с какою надсадой...» (2016)";"О. Г. Чухонцев";"1938";"«Ты видел, с какою надсадой...»";"2016";"художественная";"";"";"";"";"";"омонимия не снята";"Взорвется петарда и тучей на галечник рухнет, и вот с отливом из пены шипучей окатыш косматый встает "
" и ,тенхур кинчелаг ан йечут и";"тов";"и тучей на галечник рухнет, и ";"вот";" ";"с отливом из пены шипучей окатыш";"О. Г. Чухонцев. «Ты видел, с какою надсадой...» (2016)";"О. Г. Чухонцев";"1938";"«Ты видел, с какою надсадой...»";"2016";"художественная";"";"";"";"";"";"омонимия не снята";"Взорвется петарда и тучей на галечник рухнет, и вот с отливом из пены шипучей окатыш косматый встает "
" ынеп зи мовилто с тов и";"йечупиш";"и вот с отливом из пены ";"шипучей";" ";"окатыш косматый встает ";"О. Г. Чухонцев. «Ты видел, с какою надсадой...» (2016)";"О. Г. Чухонцев";"1938";"«Ты видел, с какою надсадой...»";"2016";"художественная";"";"";"";"";"";"омонимия не снята";"Взорвется петарда и тучей на галечник рухнет, и вот с отливом из пены шипучей окатыш косматый встает "
" йытамсок шытако йечупиш ынеп зи мовилто";"театсв";"отливом из пены шипучей окатыш косматый ";"встает";" ";"";"О. Г. Чухонцев. «Ты видел, с какою надсадой...» (2016)";"О. Г. Чухонцев";"1938";"«Ты видел, с какою надсадой...»";"2016";"художественная";"";"";"";"";"";"омонимия не снята";"Взорвется петарда и тучей на галечник рухнет, и вот с отливом из пены шипучей окатыш косматый встает "
" тидоху авонс и";"йозудем";"и снова уходит ";"медузой";" ";"на дно мезозойских корост… Не так";"О. Г. Чухонцев. «Ты видел, с какою надсадой...» (2016)";"О. Г. Чухонцев";"1938";"«Ты видел, с какою надсадой...»";"2016";"художественная";"";"";"";"";"";"омонимия не снята";"и снова уходит медузой на дно мезозойских корост… Не так ли в покинутом музой поэте проявится монстр. "
" хиксйозозем онд ан йозудем тидоху авонс";"тсорок";"снова уходит медузой на дно мезозойских ";"корост";"… ";"Не так ли в покинутом музой";"О. Г. Чухонцев. «Ты видел, с какою надсадой...» (2016)";"О. Г. Чухонцев";"1938";"«Ты видел, с какою надсадой...»";"2016";"художественная";"";"";"";"";"";"омонимия не снята";"и снова уходит медузой на дно мезозойских корост… Не так ли в покинутом музой поэте проявится монстр. "
" мотуникоп в ил кат еН …тсорок";"йозум";"корост… Не так ли в покинутом ";"музой";" ";"поэте проявится монстр. ";"О. Г. Чухонцев. «Ты видел, с какою надсадой...» (2016)";"О. Г. Чухонцев";"1938";"«Ты видел, с какою надсадой...»";"2016";"художественная";"";"";"";"";"";"омонимия не снята";"и снова уходит медузой на дно мезозойских корост… Не так ли в покинутом музой поэте проявится монстр. "
